bist_time,ask_price1,ask_vol1,ask_price2,ask_vol2,ask_price3,ask_vol3,bid_price1,bid_vol1,bid_price2,bid_vol2,bid_price3,bid_vol3
1663743606959742533,19.92,135942,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606960338942,19.92,135437,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606968027493,19.92,134914,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606996923538,19.92,134913,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606996923538,19.92,134560,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606997464459,19.92,133860,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607012095930,19.92,133760,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607012095930,19.92,133360,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607040048471,19.92,130810,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607062448667,19.92,129810,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607067595679,19.92,129610,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607067909201,19.92,128610,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607069052774,19.92,128460,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607089063331,19.92,128440,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607089063331,19.92,128160,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607415392442,19.92,128150,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607415392442,19.92,128001,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607415392442,19.92,127940,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607479260168,19.92,127939,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607515122983,19.92,127929,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607997696724,19.92,127829,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743607998168109,19.92,127815,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127795,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127695,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127630,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127616,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127615,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127595,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127585,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608101729775,19.92,127513,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743608857795841,19.92,127651,19.93,47994,19.94,27604,19.91,5,19.9,18168,19.89,3926
1663743609113579955,19.92,127231,19.93,47994,19.94,27604,19.91,5,19.9,18168,19.89,3926
1663743609113579955,19.92,127161,19.93,47994,19.94,27604,19.91,5,19.9,18168,19.89,3926
1663743609193882458,19.92,126661,19.93,47994,19.94,27604,19.91,5,19.9,18168,19.89,3926
1663743609193882458,19.92,124661,19.93,47994,19.94,27604,19.91,5,19.9,18168,19.89,3926
1663743609194427005,19.92,119231,19.93,47994,19.94,27604,19.91,5,19.9,18168,19.89,3926
1663743609198895642,19.92,123001,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743609265379829,19.92,122999,19.93,47994,19.94,27604,19.91,506,19.9,18499,19.89,3926
1663743609573880260,19.92,123047,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743609573880260,19.92,123019,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,122019,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,122018,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,122008,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121658,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121656,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121654,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121652,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121650,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121648,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121646,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743610545188604,19.92,121019,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,121017,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,121015,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,120965,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,119620,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,119520,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,119519,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,119518,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,119118,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611156831275,19.92,118119,19.93,47994,19.94,27604,19.91,787,19.9,18499,19.89,3926
1663743611632901248,19.92,118117,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743613019464718,19.92,118116,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743613428416311,19.92,115115,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743613578934278,19.92,115114,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743614887460273,19.92,114913,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743615053338781,19.92,114911,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743615519099221,19.92,114909,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743615983823995,19.92,114907,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743616463252361,19.92,114903,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743616463252361,19.92,114657,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743616917630682,19.92,113657,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743616949595402,19.92,113157,19.93,47994,19.94,27604,19.91,1887,19.9,18499,19.89,3926
1663743617391757417,19.92,113156,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743617391757417,19.92,113057,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743619571803243,19.92,110830,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743619571849448,19.92,105038,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743619704425087,19.92,103538,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743620000487550,19.92,102538,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743621230823491,19.92,102491,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743624885528853,19.92,102481,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743626123776947,19.92,100481,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743626964675967,19.92,99481,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743627274794723,19.92,99381,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743627958882825,19.92,97381,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743627958882825,19.92,96381,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743628726384013,19.92,95381,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743628726384013,19.92,90364,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743628726384013,19.92,89411,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743628726384013,19.92,87411,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743628726384013,19.92,84369,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743628944218584,19.92,84279,19.93,47994,19.94,27604,19.91,5,19.9,18499,19.89,3926
1663743629003778600,19.93,35405,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743629003778600,19.93,35255,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055039054,19.93,34255,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055039054,19.93,33255,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055039054,19.93,27365,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22316,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22314,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22312,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22310,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22308,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22306,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22304,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
1663743630055565488,19.93,22302,19.94,27604,19.95,6941,19.91,5,19.9,18499,19.89,3926
