bist_time,ask,bid,volume
1663743696197001613,20.02,19.99,753464
1663743696197001613,20.02,19.99,753435
1663743696197001613,20.02,19.99,745698
1663743696197001613,20.02,19.99,745698
1663743696197001613,20.02,19.99,745698
1663743696197001613,20.02,19.99,745698
1663743696197001613,20.02,19.99,741913
1663743696197001613,20.02,19.99,741913
1663743696197551046,20.02,19.99,741913
1663743696529477393,20.02,19.99,741913
1663743696529634718,20.02,19.99,741913
1663743696568428003,20.02,19.99,737960
1663743696568428003,20.02,19.99,737377
1663743696568428003,20.02,19.99,737377
1663743696568428003,20.02,19.99,732043
1663743696759373455,20.02,19.99,732043
1663743697227860560,20.02,19.99,731963
1663743697867921364,20.02,19.99,732008
1663743698945275872,20.02,19.99,735059
1663743698945320858,20.02,19.99,732842
1663743698947246511,20.02,19.99,736183
1663743698952148408,20.02,19.99,736183
1663743699132795364,20.02,19.99,736183
1663743700305018109,20.02,19.99,748468
1663743700305194586,20.02,19.99,748468
1663743700633565242,20.02,19.99,748468
1663743700987348765,20.02,19.99,748468
1663743700987348765,20.02,19.99,748468
1663743700987348765,20.02,19.99,748468
1663743700987348765,20.02,19.99,748468
1663743701215726140,20.02,19.99,751356
1663743701632434834,20.02,19.99,777266
1663743703627106148,20.02,19.99,777292
1663743703627313804,20.06,19.99,713565
1663743703627313804,20.06,19.99,713565
1663743703627313804,20.06,19.99,710416
1663743703627313804,20.06,19.99,710416
1663743703627313804,20.06,19.99,699350
1663743703627313804,20.06,19.99,699350
1663743704567950590,20.06,19.99,708456
1663743705288312841,20.06,19.99,708556
1663743706304772236,20.06,19.99,729271
1663743706304772236,20.06,19.99,729197
1663743708751857080,20.06,20.04,788025
1663743708773596208,20.06,20.04,787065
1663743708952661792,20.06,20.04,784237
1663743709260240715,20.06,20.04,784237
1663743709667911170,20.06,20.04,784237
1663743710897564292,20.06,20.04,788347
1663743711081612112,20.06,20.04,788347
1663743711555503972,20.06,20.04,795468
1663743712110399483,20.06,20.04,795468
1663743712394999790,20.06,20.04,795468
1663743713163060747,20.06,20.04,838217
1663743714734994337,20.06,20.04,871832
1663743715007347866,20.06,20.04,871832
1663743715076702685,20.06,20.04,871832
1663743715581941073,20.06,20.02,849610
1663743715581941073,20.06,20.0,847991
1663743715581941073,20.06,20.0,847991
1663743715585487451,20.06,20.0,849564
1663743715673022952,20.06,20.0,849564
1663743715987273063,20.06,20.0,849564
1663743716337398964,20.06,20.0,849564
1663743717360203946,20.06,20.0,849564
1663743717779016802,20.06,20.0,849564
1663743717779016802,20.06,20.0,848645
1663743717779016802,20.06,20.0,841116
1663743718043155546,20.06,20.0,841116
1663743718787870544,20.06,20.0,842466
1663743719028975627,20.06,20.0,842466
1663743719115598490,20.06,20.0,841967
1663743719147008142,20.06,20.0,841958
1663743719655407921,20.06,20.0,841958
1663743719728086450,20.0,19.99,834102
1663743720206968639,20.0,19.99,854479
1663743720527546034,20.0,19.99,854479
1663743720554404893,20.0,19.99,853903
1663743720554451086,20.0,19.99,852356
1663743723928253559,20.0,19.99,871364
1663743725448625931,20.0,19.99,872164
1663743726070926754,20.0,19.99,872164
1663743726420585938,20.0,19.99,871800
1663743727326854968,20.0,19.99,870981
1663743727326854968,20.0,19.99,868518
1663743727326854968,20.0,19.99,868300
1663743728298540530,20.0,19.99,869690
1663743728347162355,20.0,19.99,869690
1663743729687346416,20.0,19.99,1030301
1663743729933466308,20.0,19.99,1030301
1663743730498927253,20.0,19.99,1030301
1663743730972819554,20.0,19.99,1030301
1663743731036587064,20.0,19.99,1035301
1663743731221800027,20.0,19.99,1035301
1663743731221800027,20.0,19.99,1035301
1663743731600716313,20.0,19.99,1035301
1663743731692850351,20.0,19.99,1035301
1663743735664587602,20.0,19.99,1036608
1663743736626052320,20.0,19.99,1037708
1663743736626052320,20.0,19.99,1037708
1663743736626052320,20.02,19.99,1036109
1663743736732895420,20.02,19.99,1036109
